agent_id	name	tier	category	agent_role	route_role	skills	toolsets	use_when	not_for	handoff	primary_authority	requires_official_confirmation	route_card	source_agent_json	risk_note
GEO-everything	GEO Everything	pro	data_acquisition	data_acquisition	route_card	geo-sra-search, geo-metadata-fetch, sra-fastq-download, dataset-linkout, data-io-loading, gene-id-conversion, report-html-generation	file_manager, python_interpreter, shell, omicverse_lookup, web, plan, think, task, skill, memory	"想从 NCBI GEO / SRA / ENA / DDBJ / GSA 拉公共数据 —— 入口可以是关键词、GSE/GSM/SRR/PRJNA accession、或一篇论文的 DOI / PMID;做的是搜索数据集、解析样本元数据、下载 FASTQ/补充文件、按论文反查 accession。NOT-FOR(数据落地之后的分析不归本 agent):不做 scRNA/10x 的 QC / 归一化 / HVG / PCA / 整合 / 聚类 / 注释(这条链给 single_cell_preprocessor,它再串注释与下游)、不做 bulk 差异表达(→ bulk_rna_analyst)、不做空间下游(→ spatial_omics_orchestrator);本 agent 的职责终点是""FASTQ 落盘 + 样本表解析成 AnnData + 下载报告"",随后交棒。若落地的是单细胞**原始 FASTQ**(还没有 gene×cell 矩阵):10x 液滴走 `single-cell-kb-alignment`、plate-based Smart-seq2/3 走 `single-cell-smartseq-quantification` 先比对定量成矩阵,再进 `single_cell_preprocessor`。"	Not for QC, normalization, DEG, spatial downstream, or biological interpretation after files are landed.	Hand off landed matrices/files to single-cell, bulk, spatial, microbiome, proteomics, or other specialist routes.	public archive docs plus OmicVerse/SCOP data-loading docs	always	agent_route_cards/GEO-everything.md	raw_agents/public_cloud_agents/GEO-everything.json	Data acquisition stops at files and metadata; downstream analysis must use specialist route cards and official docs.
analysis_sanity_review	Analysis Sanity Review	community	single_cell_analysis	review_gate	review_only	office-tools	file_manager, python_interpreter, think, task, memory	一段组学分析（注释/整合/差异等）写报告之前，要一个没沾过本次推理的全新视角核对结论是否与数据和已确认身份自洽	Not for starting a new analysis or choosing methods; only reviews an existing analysis handoff.	Return blocking findings to the responsible specialist route before release.	project evidence files plus OmicVerse/SCOP and official docs already cited by the route	conditional	agent_route_cards/analysis_sanity_review.md	raw_agents/public_cloud_agents/analysis_sanity_review.json	Review can catch omissions but cannot replace rerunning official docs, notebooks, or formal validation commands.
analysis_strategist	Analysis Strategist	pro	orchestration	strategy_planning	candidate_reminder	none	file_manager, python_interpreter, omicverse_lookup, skill, team, plan, think, task, memory	"拿到一份(或多份)新数据,想问""这份数据能回答什么 / 怎么分析才最有信息量"",并且愿意接受非传统的、跨阶段拼装的分析路线 —— 例如 scRNA + 代谢通量 + 拟时序联合,scATAC + scRNA + peak-to-gene + 谱系演化,bulk + 微生物 + 配对代谢联合,空间 + 反卷积 + 邻接细胞通讯。不是已经知道要跑什么管线了 —— 那种走对应专科 agent;这里专门处理""该跑什么""。"	Not for executing code, selecting final parameters, or bypassing specialist route confirmation.	Hand off each proposed stage to the matching specialist agent card and verified package docs.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/analysis_strategist.md	raw_agents/public_cloud_agents/analysis_strategist.json	Strategy proposals are hypotheses; every stage still needs official source review and user confirmation.
bulk_epigenomics_analyst	Bulk Epigenomics Analyst	pro	general_omics_analysis	general_omics_analysis	route_card	bulk-epigenome-upstream, differential-peak-analysis, dna-methylation-analysis, tf-footprinting, epigenome-track-visualization, gsea-enrichment, gene-id-conversion, data-io-loading, data-cleaning, figure-programmatic, report-html-generation, notebook-export, office-tools, retraction-check	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	拿到 bulk 表观基因组数据。两类:(1) 染色质可及性 / 占据 —— ATAC-seq / ChIP-seq / CUT&RUN 的 FASTQ.gz、BAM、narrowPeak 或 bigWig,做上游、call peak、差异 peak、TF 足迹、轨道、motif 富集(走 epione);(2) DNA 甲基化 / WGBS / RRBS —— per-CpG beta 矩阵或 methylation BED/bedGraph(beta 0-1 或 0-100),做区域甲基化(启动子 / 基因体 / enhancer / CpG island)、条件间差异甲基化、或甲基化在某特征周围的空间分布(走标准栈,epione 无甲基化模块)。不是单细胞 ATAC(→ single_cell_epigenomics_analyst),不是 Hi-C(→ chromatin_3d_analyst),不是纯 RNA 表达(→ bulk_rna_analyst)。	Not for single-cell ATAC, spatial epigenomics, or structural variant interpretation without a matching specialist route.	Hand off single-cell epigenomics to single_cell_epigenomics_analyst and spatial assays to spatial_epigenomics_analyst.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/bulk_epigenomics_analyst.md	raw_agents/public_cloud_agents/bulk_epigenomics_analyst.json	Assay type, genome build, feature definition, normalization, and peak or bin provenance define valid conclusions.
bulk_rna_analyst	Bulk RNA-seq Analyst	community	general_omics_analysis	general_omics_analysis	route_card	gene-id-conversion, data-io-loading, data-cleaning, sample-metadata-alignment, tcga-preprocessing, survival-analysis, bulk-combat-correction, bulk-deg-analysis, time-course-analysis, multi-omics-integration, sample-clustering, gsea-enrichment, bulk-wgcna-analysis, bulk-stringdb-ppi, bulk-celltype-deconvolution, bulk-to-single-deconvolution, report-html-generation, notebook-export, office-tools	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	"拿到 bulk RNA-seq 表达矩阵(genes × samples,counts/TPM)、多批次队列、TCGA、FASTQ —— 需要你从这个矩阵建模 / 推导。""哪些基因与某个样本变量相关 / 关联 / 差异表达""的问题归这里:变量是分组、连续性状(病程 / 年龄 / 剂量 / 严重度评分)、还是时间点都一样 —— 差异表达就是把表达矩阵建模为一个 design matrix 的函数,连续协变量只是 design 里的一列,措辞是 ""correlation / associated with / track"" 不改变这一点。**关键判据:输入确实是一个基因 × 样本的表达矩阵、分析要从中建模。** 若输入已经是算好的结果表(DE 结果表、每特征 / 每条件的统计量或 score 表),任务只是在这些表上做相关 / 相似度 / 聚合,那是表格统计,归 tabular_genomics_analyst。也做富集 / 共表达网络 / 报告。"	Not for raw scRNA matrices, generic result-table statistics, or spatial transcriptomics downstream.	Hand off scRNA to single_cell_preprocessor and existing result tables to tabular_genomics_analyst.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/bulk_rna_analyst.md	raw_agents/public_cloud_agents/bulk_rna_analyst.json	Counts versus TPM, design matrix, contrasts, batch variables, and replicate structure define the valid route.
c3ca_phase_runner	c3CA Phase Runner	lab	single_cell_analysis	single_cell_analysis	route_card	rust_nmf, sc_c3ca_backend_skill	file_manager, python_interpreter, shell	用于 rust-NMF 3CA 前端各 phase、c3CA 后端 MP-analysis 各 phase、phase 间交接，以及单个 phase 的失败排查	Not for generic cell-cycle scoring unless c3CA phase workflow is explicitly intended.	Hand off upstream QC and clustering to single_cell_preprocessor first.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/c3ca_phase_runner.md	raw_agents/public_cloud_agents/c3ca_phase_runner.json	Phase labels depend on preprocessing, marker sets, species, and cell-state confounders.
cancer_dependency_analyst	Cancer Dependency Analyst	pro	general_omics_analysis	general_omics_analysis	route_card	cancer-dependency-analysis, synthetic-lethality-discovery, target-druggability-pro, somatic-mutation-analysis, tabular-association-analysis, gsea-enrichment, gene-id-conversion, data-io-loading, data-cleaning, figure-programmatic, report-html-generation, notebook-export, office-tools, retraction-check	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	拿到癌症依赖 / 必需性数据 —— DepMap/CCLE 的 CRISPR/RNAi 必需性评分、患者层面预测依赖评分、突变矩阵 + 多组学 —— 要找某癌种的选择性依赖 / 生物标志物 / 可干预靶点,或预测某 LOF 事件的合成致死伙伴,或判定某一对具名基因是否合成致死(仅给基因名 + 上下文、需自己取依赖数据也可)。不是普通 RNA-seq 差异表达(→ bulk_rna_analyst),不是体细胞突变频率统计(→ tabular_genomics_analyst),不是 GWAS / eQTL(→ statistical_genetics_analyst)。	Not for unvalidated causal claims or clinical actionability without external evidence.	Hand off expression, mutation, or pathway-specific substeps to the relevant omics route card.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/cancer_dependency_analyst.md	raw_agents/public_cloud_agents/cancer_dependency_analyst.json	Screen design, dependency score model, lineage covariates, and batch structure must be declared before claims.
cell_cell_communication_free	Cell-cell Communication Free	community	single_cell_analysis	single_cell_analysis	route_card	cell-cell-communication-free	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, team	用于已注释 scRNA-seq AnnData 的免费版细胞通讯 / 配体-受体分析，CellPhoneDB v5 够用时走这里；不跑 LIANA consensus、LIANA+、CellChat(R) 或手写兜底统计	Not for unannotated objects, unsupported species databases, or causal signaling claims.	Hand off annotation and preprocessing gaps to single_cell_preprocessor and annotation agents first.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/cell_cell_communication_free.md	raw_agents/public_cloud_agents/cell_cell_communication_free.json	Communication scores are expression-derived inference; sender, receiver, database, and plot semantics need review.
cell_cell_communication_pro	Cell-cell Communication Pro	pro	single_cell_analysis	single_cell_analysis	route_card	cell-cell-communication, cellchat_rust_h5ad	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory, team	用于 scRNA-seq 的进阶细胞通讯 / 配体-受体分析：LIANA / LIANA+ consensus、CellPhoneDB v5 兜底、按需 CellChat(R)、条件比较、信号通路排序与差异互作图；只用 CellPhoneDB 的免费路径走 cell_cell_communication_free	Not for unannotated objects, unsupported species databases, or causal signaling claims.	Hand off annotation and preprocessing gaps to single_cell_preprocessor and annotation agents first.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/cell_cell_communication_pro.md	raw_agents/public_cloud_agents/cell_cell_communication_pro.json	Multi-method communication results need database, score, permutation, and visualization semantics checked.
cellchat_rust_h5ad_runner	CellChat Rust H5AD Runner	lab	single_cell_analysis	single_cell_analysis	route_card	cell-cell-communication, cellchat_rust_h5ad	file_manager, python_interpreter, shell, plan, think, task, skill, memory, team	Use for cell-cell / ligand-receptor communication analysis on single-cell RNA-seq — LIANA (Python, ov.single.run_liana, consensus + permutation test) or CellChat (R) inference, directed sender→receiver questions, signaling-pathway ranking, condition comparison, and differential interaction plots. Accepts an annotated h5ad directly, or raw / unannotated scRNA-seq (text matrices, mtx, unlabeled h5ad) by delegating preprocessing and cell-type annotation to the appropriate specialists first.	Not for CellChat interpretation when the h5ad schema, species, or cell labels are unconfirmed.	Hand off schema and annotation issues before running communication inference.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/cellchat_rust_h5ad_runner.md	raw_agents/public_cloud_agents/cellchat_rust_h5ad_runner.json	H5AD schema, species database, cell labels, and CellChat wrapper version control the output semantics.
