package	function	summary	language	source_url	doc_path	fetched_at
omicverse	omicverse.generate_reference_table	Generate a standardized reference table from adata.uns['REFERENCE_MANU'] .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.generate_reference_table.html	references/omicverse/functions/omicverse.generate_reference_table.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.settings.cpu_gpu_mixed_init	Initialize CPU-GPU mixed mode for accelerated single-cell analysis.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.settings.cpu_gpu_mixed_init.html	references/omicverse/functions/omicverse.settings.cpu_gpu_mixed_init.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.settings.gpu_init	Initialize GPU mode with RAPIDS for accelerated single-cell analysis.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.settings.gpu_init.html	references/omicverse/functions/omicverse.settings.gpu_init.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.load	Load serialized Python object from disk.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.load.html	references/omicverse/functions/omicverse.io.load.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read	Read common omics file formats into AnnData or pandas DataFrame.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read.html	references/omicverse/functions/omicverse.io.read.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read_10x_h5	Read a 10x Genomics HDF5 matrix file.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read_10x_h5.html	references/omicverse/functions/omicverse.io.read_10x_h5.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read_10x_mtx	Read a 10x Genomics Matrix Market directory.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read_10x_mtx.html	references/omicverse/functions/omicverse.io.read_10x_mtx.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read_csv	Read a CSV / TSV file via pandas.read_csv with a mandatory duplicate-column scan on the raw header.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read_csv.html	references/omicverse/functions/omicverse.io.read_csv.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read_h5ad	Read an .h5ad file.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read_h5ad.html	references/omicverse/functions/omicverse.io.read_h5ad.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read_nanostring	Read Nanostring formatted dataset.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read_nanostring.html	references/omicverse/functions/omicverse.io.read_nanostring.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read_visium_hd	Read 10x Visium HD outputs with a single entry point.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read_visium_hd.html	references/omicverse/functions/omicverse.io.read_visium_hd.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read_visium_hd_bin	Read Visium HD bin-level output and attach spatial metadata.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read_visium_hd_bin.html	references/omicverse/functions/omicverse.io.read_visium_hd_bin.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read_visium_hd_seg	Read Visium HD cell-segmentation output and attach geometries + spatial metadata.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read_visium_hd_seg.html	references/omicverse/functions/omicverse.io.read_visium_hd_seg.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read_xenium	Read a 10x Xenium outs directory into an AnnData object.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read_xenium.html	references/omicverse/functions/omicverse.io.read_xenium.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.save	Save Python object to file using pickle fallback strategy.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.save.html	references/omicverse/functions/omicverse.io.save.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.spatial.read_visium	Read 10x-Genomics-formatted Visium dataset.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.spatial.read_visium.html	references/omicverse/functions/omicverse.io.spatial.read_visium.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.spatial.write_visium_hd_cellseg	Export cell-level AnnData to SpaceRanger v4-compatible directory structure.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.spatial.write_visium_hd_cellseg.html	references/omicverse/functions/omicverse.io.spatial.write_visium_hd_cellseg.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.amplicon_16s_pipeline	Run the full 16S amplicon pipeline.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.amplicon_16s_pipeline.html	references/omicverse/functions/omicverse.alignment.amplicon_16s_pipeline.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.build_amplicon_anndata	Compose anndata.AnnData from vsearch stepwise outputs.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.build_amplicon_anndata.html	references/omicverse/functions/omicverse.alignment.build_amplicon_anndata.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.build_phylogeny	Build a phylogenetic tree end-to-end.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.build_phylogeny.html	references/omicverse/functions/omicverse.alignment.build_phylogeny.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.bulk_rnaseq_pipeline	Run a complete bulk RNA-seq pipeline from SRA accessions or local FASTQs.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.bulk_rnaseq_pipeline.html	references/omicverse/functions/omicverse.alignment.bulk_rnaseq_pipeline.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.count	Quantify expression matrices from FASTQ files via kb count .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.count.html	references/omicverse/functions/omicverse.alignment.count.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.cutadapt	Run cutadapt to remove amplicon PCR primers.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.cutadapt.html	references/omicverse/functions/omicverse.alignment.cutadapt.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.dada2_pipeline	Run pydada2 end-to-end and return an AnnData.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.dada2_pipeline.html	references/omicverse/functions/omicverse.alignment.dada2_pipeline.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.dada2.denoise	Dispatch to pydada2.dada (the divisive denoiser).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.dada2.denoise.html	references/omicverse/functions/omicverse.alignment.dada2.denoise.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.vsearch.dereplicate	Combine + dereplicate filtered FASTAs → one uniques.fasta .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.vsearch.dereplicate.html	references/omicverse/functions/omicverse.alignment.vsearch.dereplicate.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.fastp	Run fastp QC.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.fastp.html	references/omicverse/functions/omicverse.alignment.fastp.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.fasttree	Run FastTree to infer a phylogenetic tree.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.fasttree.html	references/omicverse/functions/omicverse.alignment.fasttree.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.featureCount	Run featureCounts on BAM files.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.featureCount.html	references/omicverse/functions/omicverse.alignment.featureCount.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.fetch_rdp	Alias for fetch_sintax_ref('rdp_16s_v18', db_dir=...) .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.fetch_rdp.html	references/omicverse/functions/omicverse.alignment.fetch_rdp.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.fetch_silva	Alias for fetch_sintax_ref('silva_16s_v123', db_dir=...) .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.fetch_silva.html	references/omicverse/functions/omicverse.alignment.fetch_silva.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.fetch_sintax_ref	Download a SINTAX-formatted 16S reference FASTA.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.fetch_sintax_ref.html	references/omicverse/functions/omicverse.alignment.fetch_sintax_ref.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.dada2.filter_and_trim	Quality-trim each sample’s FASTQs to output_dir/<sample>/ .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.dada2.filter_and_trim.html	references/omicverse/functions/omicverse.alignment.dada2.filter_and_trim.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.vsearch.filter_quality	Filter merged FASTQs and write per-sample FASTA with labels.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.vsearch.filter_quality.html	references/omicverse/functions/omicverse.alignment.vsearch.filter_quality.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.fqdump	Convert SRA accessions to FASTQ.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.fqdump.html	references/omicverse/functions/omicverse.alignment.fqdump.md	2026-08-03T14:16:23+00:00
