package	version	function	parameter	meaning	local_doc_path
scDist	1.1.5	scDist	normalized_counts	Normalized gene-by-cell matrix; author real-data scripts use standardized scale.data.	references/third_party/scDist.md
scDist	1.1.5	scDist	meta.data	Cell metadata ordered exactly like the matrix columns.	references/third_party/scDist.md
scDist	1.1.5	scDist	fixed.effects	Fixed-effect columns; the biological condition must be first because the implementation treats the first fixed effect as the target contrast.	references/third_party/scDist.md
scDist	1.1.5	scDist	random.effects	Random-effect columns; normally the biological sample or donor identifier.	references/third_party/scDist.md
scDist	1.1.5	scDist	clusters	Metadata column containing cell-type or subtype labels.	references/third_party/scDist.md
scDist	1.1.5	scDist	d	Number of principal components; 20 is the author-recommended common setting.	references/third_party/scDist.md
scDist	1.1.5	scDist	min.count.per.cell	Despite its name, the implementation checks total cells per cluster; use 21 with d=20 and audit per-sample coverage separately.	references/third_party/scDist.md
scDist	1.1.5	scDist	weights	Optional gene weights; keep NULL unless strong prior information supports weighting.	references/third_party/scDist.md
scDist	1.1.5	distGenes	cluster	Selected cell type or subtype in the fitted scDist object.	references/third_party/scDist.md
scDist	1.1.5	distGenes	num_genes	Number of genes labeled at each direction extreme.	references/third_party/scDist.md
TDEseq	1.1	tdeseq	tde.method	Use cell for cell-level mixed-model fitting; use pseudocell only after its aggregation and raw-count requirements are confirmed.	references/third_party/TDEseq.md
TDEseq	1.1	tdeseq	sample.var	Metadata column identifying biological samples; required for fit.model=lmm.	references/third_party/TDEseq.md
TDEseq	1.1	tdeseq	stage.var	Ordered metadata column identifying time points or stages.	references/third_party/TDEseq.md
TDEseq	1.1	tdeseq	fit.model	Use lmm to model sample-level correlation; lm omits the random sample effect.	references/third_party/TDEseq.md
TDEseq	1.1	tdeseq	pct	Minimum fraction of cells in which a gene must be detected before testing.	references/third_party/TDEseq.md
TDEseq	1.1	tdeseq	lfc	Minimum maximum average log-scale difference between any two stages before testing.	references/third_party/TDEseq.md
TDEseq	1.1	tdeseq	tde.thr	FDR threshold used to label a gene as SignificantDE and assign its pattern.	references/third_party/TDEseq.md
TDEseq	1.1	tdeseq	max.gcells	Maximum cells retained per sample; Inf disables downsampling.	references/third_party/TDEseq.md
TDEseq	1.1	tdeseq	min.tcells	Drop a whole stage if its total cell count is below this value; audit support before setting it.	references/third_party/TDEseq.md
TDEseq	1.1	tdeseq	mod	For TDEseq 1.1 mixed-model variance-component estimation, pass FastLMM as the outer tdeseq() argument; tdeseq.Assay does not forward tde.param$mod.	references/third_party/TDEseq.md
TDEseq	1.1	tdeseq	num.core	Worker count; use one in an interactive R session and run multicore fits from a batch Rscript or scheduler job.	references/third_party/TDEseq.md
TrendCatcher	1.0.0	run_TrendCatcher	baseline.t	Smallest numeric time point in the input count-table column names.	references/third_party/TrendCatcher.md
TrendCatcher	1.0.0	run_TrendCatcher	time.unit	Display unit appended to time points in output.	references/third_party/TrendCatcher.md
TrendCatcher	1.0.0	run_TrendCatcher	min.low.count	Filter low-count genes before fitting.	references/third_party/TrendCatcher.md
TrendCatcher	1.0.0	run_TrendCatcher	para.core.n	Worker count used by the package.	references/third_party/TrendCatcher.md
TrendCatcher	1.0.0	run_TrendCatcher	dyn.p.thres	Adjusted dynamic P-value threshold used for trajectory pattern assignment.	references/third_party/TrendCatcher.md
