skill_name	title	description	domain	route_role	object_route	primary_authority	requires_official_confirmation	route_card	risk_note	source_raw_skill
biocontext-knowledge	BioContext knowledge queries	BioContext knowledge: UniProt, AlphaFold, STRING, Reactome, GO, PanglaoDB, PubMed, OpenTargets queries via ov.biocontext for gene annotation.	knowledge_annotation	candidate_reminder	gene_list_or_query_terms	OmicVerse/SCOP function docs plus upstream database docs	conditional	route_cards/biocontext-knowledge.md	Use as annotation support only; database facts need source-aware reporting.	raw_skills/biocontext-knowledge/SOURCE.md
bulk-celltype-deconvolution	Bulk Celltype Deconvolution	Cell-type composition deconvolution of bulk RNA-seq using a single-cell reference. Wraps `ov.bulk.Deconvolution` with four interchangeable backends — TAPE, Scaden, BayesPrism, OmicsTweezer — under one constructor / one `.deconvolution(method=...)` call. Use when inferring cell-type fractions from bulk samples given a paired scRNA-seq atlas, when reproducing `t_decov_bulk`, or when comparing deep-learning vs. Bayesian deconvolution methods on the same cohort.	bulk_deconvolution	route_card	bulk_matrix_plus_single_cell_reference	OmicVerse/SCOP function docs and selected backend official docs	always	route_cards/bulk-celltype-deconvolution.md	Backend choice changes assumptions; confirm paired reference and output fraction semantics.	raw_skills/bulk-celltype-deconvolution/SOURCE.md
bulk-combat-correction	Bulk RNA-seq batch correction with ComBat	Bulk RNA-seq batch correction with pyComBat: remove batch effects from merged cohorts, export corrected matrices, and benchmark visualizations.	bulk_batch_correction	route_card	bulk_expression_matrix	OmicVerse/SCOP function docs and pyComBat official docs if used	always	route_cards/bulk-combat-correction.md	Batch correction can remove biology; require design columns before running.	raw_skills/bulk-combat-correction/SOURCE.md
bulk-deg-analysis	Bulk RNA-seq differential expression with omicverse	Bulk RNA-seq DEG pipeline: gene ID mapping, DESeq2 normalization, statistical testing, volcano plots, and pathway enrichment in OmicVerse.	bulk_differential_expression	route_card	bulk_expression_matrix	OmicVerse/SCOP function docs and DESeq2 or PyDESeq2 official docs	always	route_cards/bulk-deg-analysis.md	Do not mix normalized and count-scale inputs without confirming method requirements.	raw_skills/bulk-deg-analysis/SOURCE.md
bulk-deseq2-analysis	Bulk RNA-seq DESeq2 analysis with omicverse	PyDESeq2 differential expression: ID mapping, DE testing, fold-change thresholding, and GSEA enrichment visualization in OmicVerse.	bulk_differential_expression	route_card	bulk_count_matrix	OmicVerse/SCOP function docs and PyDESeq2 official docs	always	route_cards/bulk-deseq2-analysis.md	Confirm raw counts, contrast, design, and independent filtering behavior.	raw_skills/bulk-deseq2-analysis/SOURCE.md
bulk-metabol-multivariate	Bulk Metabol Multivariate	Multivariate discrimination and biomarker selection on a preprocessed metabolomics AnnData. Use when running PLS-DA, OPLS-DA, VIP / S-plot inspection, per-metabolite ROC AUC with bootstrap confidence intervals, or building a multi-metabolite biomarker panel with nested CV and a permutation null. Assumes the input has already been imputed, PQN-normalized, and log-then-Pareto-transformed.	metabolomics_multivariate	route_card	metabolomics_anndata	OmicVerse function docs and metabolomics method docs	always	route_cards/bulk-metabol-multivariate.md	PLS/OPLS can overfit; require nested validation or permutation when used for claims.	raw_skills/bulk-metabol-multivariate/SOURCE.md
bulk-metabol-pathway-multifactor	Bulk Metabol Pathway Multifactor	Pathway interpretation, multi-factor designs, differential correlation, MOFA multi-omics, and the MTBLS1 real-data case study on a preprocessed metabolomics AnnData. Use when you need MSEA ORA / GSEA pathway enrichment with KEGG IDs, multi-factor ANOVA-SCA / mixed-model / MEBA designs, DGCA differential correlation networks, MOFA+ joint factorization across metabolomics + RNA-seq, or a worked end-to-end T2D study from MetaboLights ingestion to biomarker panel.	metabolomics_pathway_multifactor	route_card	metabolomics_anndata	OmicVerse function docs and pathway database docs	always	route_cards/bulk-metabol-pathway-multifactor.md	Pathway and multifactor claims need metadata design checked before analysis.	raw_skills/bulk-metabol-pathway-multifactor/SOURCE.md
bulk-metabol-preprocessing	Bulk Metabol Preprocessing	Run the canonical metabolomics preprocessing chain on an AnnData peak table — impute, normalize, transform — and apply LC-MS-specific drift / batch / sample QC corrections (drift_correct, SERRF, ComBat, sample_qc). Use when converting `t_metabol_01_intro` or `t_metabol_06_batch_correction` into a reusable skill, when a user has a MetaboAnalyst CSV / LC-MS peak table to clean before differential or multivariate analysis, or when choosing among PQN/TIC/median sample-normalization, log/Pareto feature-transformation, and qrilc/knn/half_min/zero imputation strategies.	metabolomics_preprocessing	route_card	metabolomics_peak_table	OmicVerse function docs and preprocessing method docs	always	route_cards/bulk-metabol-preprocessing.md	Imputation, normalization, and transformation choices must be declared before downstream tests.	raw_skills/bulk-metabol-preprocessing/SOURCE.md
bulk-metabol-untargeted-lipidomics	Bulk Metabol Untargeted Lipidomics	Two adjacent LC-MS workflows on AnnData — (1) untargeted metabolomics with m/z-based peak annotation, mummichog pathway inference and adduct-ppm matching, and (2) lipidomics with LIPID MAPS shorthand parsing, lipid-class aggregation, and LION term enrichment. Use when converting `t_metabol_04_untargeted` or `t_metabol_05_lipidomics` into a reusable skill, when the input feature IDs encode `m/z`/`RT`, or when the var_names look like `PC 34:1` / `Cer d18:1/24:0` / `TAG 54:3`.	metabolomics_lipidomics	route_card	mz_rt_or_lipidomics_feature_table	OmicVerse function docs and metabolomics database docs	always	route_cards/bulk-metabol-untargeted-lipidomics.md	Annotation confidence and adduct matching must not be reported as definitive identity.	raw_skills/bulk-metabol-untargeted-lipidomics/SOURCE.md
bulk-stringdb-ppi	STRING protein interaction analysis with omicverse	STRING protein-protein interaction network analysis with pyPPI: query STRING database, build PPI graphs, expand with add_nodes, and visualize styled networks for bulk gene lists.	ppi_network	route_card	gene_or_protein_list	OmicVerse/SCOP function docs and STRING official docs	always	route_cards/bulk-stringdb-ppi.md	STRING edges are database evidence, not direct experimental proof for this dataset.	raw_skills/bulk-stringdb-ppi/SOURCE.md
bulk-to-single-deconvolution	Bulk RNA-seq deconvolution with Bulk2Single	Turn bulk RNA-seq cohorts into synthetic single-cell datasets using omicverse's Bulk2Single workflow for cell fraction estimation, beta-VAE generation, and quality control comparisons against reference scRNA-seq.	bulk_to_single	route_card	bulk_matrix_plus_single_cell_reference	OmicVerse function docs	always	route_cards/bulk-to-single-deconvolution.md	Synthetic single cells need explicit validation against reference distributions.	raw_skills/bulk-to-single-deconvolution/SOURCE.md
bulk-trajblend-interpolation	BulkTrajBlend trajectory interpolation	Extend scRNA-seq developmental trajectories with BulkTrajBlend by generating intermediate cells from bulk RNA-seq, training beta-VAE and GNN models, and interpolating missing states.	bulk_trajectory_interpolation	candidate_reminder	bulk_and_single_cell_developmental_series	OmicVerse function docs and method paper or official docs	always	route_cards/bulk-trajblend-interpolation.md	Generated intermediate states are model outputs, not directly observed cells.	raw_skills/bulk-trajblend-interpolation/SOURCE.md
bulk-wgcna-analysis	Bulk WGCNA analysis with omicverse	WGCNA co-expression network: soft-threshold, module detection, eigengenes, hub genes, and trait correlation in OmicVerse.	bulk_coexpression_network	route_card	bulk_expression_matrix_with_traits	OmicVerse/SCOP function docs and WGCNA official docs	always	route_cards/bulk-wgcna-analysis.md	Module-trait associations require sample-level design and multiple-testing handling.	raw_skills/bulk-wgcna-analysis/SOURCE.md
cross-modal-celltype-transfer	Cross Modal Celltype Transfer	Transfer cell-type labels from a reference AnnData to a query AnnData with OmicVerse weighted KNN over a shared embedding. Use when converting OmicVerse cross-modal annotation notebooks into a reusable skill, when labeling an ATAC query from an RNA reference, or when you need the weighted_knn_trainer / weighted_knn_transfer workflow plus optional visualization.	cross_modal_label_transfer	route_card	reference_anndata_plus_query_anndata	OmicVerse function docs	always	route_cards/cross-modal-celltype-transfer.md	Shared embedding and feature overlap must be checked before transfer.	raw_skills/cross-modal-celltype-transfer/SOURCE.md
data-export-excel	Excel Data Export (Universal)	Export analysis results, data tables, and formatted spreadsheets to Excel files using openpyxl. Works with ANY LLM provider (GPT, Gemini, Claude, etc.).	export	glue_helper	tables	project output contract and library docs	not_core_analysis	route_cards/data-export-excel.md	Export only; must not decide biological methods.	raw_skills/data-export-excel/SOURCE.md
data-export-pdf	PDF Report Generation (Universal)	Create professional PDF reports with text, tables, and embedded images using reportlab. Works with ANY LLM provider (GPT, Gemini, Claude, etc.).	export	glue_helper	report_assets	project output contract and library docs	not_core_analysis	route_cards/data-export-pdf.md	Export only; use academic-html-report for scientific HTML closeout when required.	raw_skills/data-export-pdf/SOURCE.md
data-io-loading	OmicVerse data I/O	OmicVerse data I/O: use ov.read(), ov.io.read_h5ad, read_10x_h5, read_10x_mtx, read_visium, read_visium_hd, read_nanostring instead of scanpy. Covers h5ad, 10x, spatial, CSV formats.	data_io	glue_helper	h5ad_10x_spatial_csv	OmicVerse/SCOP function docs and project input contract	conditional	route_cards/data-io-loading.md	Read/write helpers are allowed, but object schema still needs validation.	raw_skills/data-io-loading/SOURCE.md
data-stats-analysis	Statistical Analysis (Universal)	Perform statistical tests, hypothesis testing, correlation analysis, and multiple testing corrections using scipy and statsmodels. Works with ANY LLM provider (GPT, Gemini, Claude, etc.).	generic_statistics	fallback_only	generic_table	analysis package docs or statistical library docs after native gap	conditional	route_cards/data-stats-analysis.md	Generic stats must not replace package-native differential or enrichment methods.	raw_skills/data-stats-analysis/SOURCE.md
data-transform	Data Transformation (Universal)	Transform, clean, reshape, and preprocess data using pandas and numpy. Works with ANY LLM provider (GPT, Gemini, Claude, etc.).	data_wrangling	glue_helper	generic_table	project data contract	conditional	route_cards/data-transform.md	Use only for metadata or table reshape. Expression normalization, filtering, scaling, log transform, CPM, or other matrix-changing transforms require OmicVerse/SCOP or a confirmed official route.	raw_skills/data-transform/SOURCE.md
data-viz-plots	Data Visualization (Universal)	Publication-quality matplotlib/seaborn plots: scatter, heatmap, violin, bar, line, multi-panel figures. Works with ANY LLM provider.	generic_visualization	fallback_only	generic_table_or_array	analysis-native plotting docs after native options are rejected	conditional	route_cards/data-viz-plots.md	Custom matplotlib/seaborn must not replace core evidence plots without the visualization gate.	raw_skills/data-viz-plots/SOURCE.md
datasets-loading	OmicVerse built-in datasets and mock data	OmicVerse built-in datasets: pbmc3k, pancreas, dentategyrus, zebrafish, immune, spatial, multiome, plus create_mock_dataset() and predefined_signatures GMT gene sets.	demo_datasets	glue_helper	built_in_demo_dataset	OmicVerse/SCOP function docs	not_core_analysis	route_cards/datasets-loading.md	Demo datasets are for smoke tests, not a substitute for user data.	raw_skills/datasets-loading/SOURCE.md
fastq-analysis	FASTQ analysis and RNA-seq alignment with omicverse	Guide through omicverse's alignment module for SRA downloading, FASTQ quality control, STAR alignment, gene quantification, and single-cell kallisto/bustools pipelines covering both bulk and single-cell RNA-seq workflows.	fastq_alignment	route_card	sra_fastq_reference_genome	OmicVerse function docs and aligner official docs	always	route_cards/fastq-analysis.md	Raw FASTQ workflows require reference genome, chemistry, and output matrix contract.	raw_skills/fastq-analysis/SOURCE.md
fm-foundation-models	Foundation model analysis	Foundation model workflows: scGPT, Geneformer, UCE, CellPLM cell embedding, annotation, integration via ov.fm unified API. 22 models.	foundation_models	candidate_reminder	anndata_or_cells_for_embedding	OmicVerse function docs and model official docs	always	route_cards/fm-foundation-models.md	Foundation model outputs need version, checkpoint, species, and training-domain checks.	raw_skills/fm-foundation-models/SOURCE.md
