package	version	function	local_doc_path	source_url	summary
scDist	1.1.5	scDist	references/third_party/scDist.md	https://github.com/phillipnicol/scDist	Estimate condition-associated whole-transcriptome distance for each cell type with optional sample random effects and additional fixed covariates.
scDist	1.1.5	DistPlot	references/third_party/scDist.md	https://github.com/phillipnicol/scDist	Draw the native cell-type distance and posterior interval plot.
scDist	1.1.5	FDRDistPlot	references/third_party/scDist.md	https://github.com/phillipnicol/scDist	Draw the native distance versus adjusted-significance plot.
scDist	1.1.5	distGenes	references/third_party/scDist.md	https://github.com/phillipnicol/scDist	Draw genes with the largest positive and negative contribution to the selected cell-type perturbation.
TDEseq	1.1	CreateTDEseqObject	references/third_party/TDEseq.md	https://fanyue322.github.io/TDEseq	Create a TDEseq object from raw counts, normalized expression, and cell metadata; use this lower-level constructor for SeuratObject 5 compatibility.
TDEseq	1.1	tdeseq	references/third_party/TDEseq.md	https://fanyue322.github.io/TDEseq	Fit cell-level temporal differential expression with linear or mixed models and assign Growth, Recession, Peak, or Trough patterns; for FastLMM, pass mod as the outer tdeseq() argument.
TDEseq	1.1	GetTDEseqAssayData	references/third_party/TDEseq.md	https://fanyue322.github.io/TDEseq	Extract tested-gene results and fitted data from a TDEseq object.
TDEseq	1.1	PatternHeatmap	references/third_party/TDEseq.md	https://fanyue322.github.io/TDEseq	Draw the native heatmap grouped by TDEseq temporal pattern.
TDEseq	1.1	PatternLine	references/third_party/TDEseq.md	https://fanyue322.github.io/TDEseq	Draw the native fitted temporal expression line for selected genes.
TrendCatcher	1.0.0	run_TrendCatcher	references/third_party/TrendCatcher.md	https://jaleesr.github.io/TrendCatcher/	Fit dynamic temporal patterns from a raw pseudobulk count table with a declared baseline time.
TrendCatcher	1.0.0	draw_TrajClusterGrid	references/third_party/TrendCatcher.md	https://jaleesr.github.io/TrendCatcher/	Draw native grouped fitted trajectories from a TrendCatcher master list.
TrendCatcher	1.0.0	draw_TimeHeatmap_GO	references/third_party/TrendCatcher.md	https://jaleesr.github.io/TrendCatcher/	Draw native time-window GO enrichment heatmap from a TrendCatcher master list.
